z,m		 Pp,W	 Pp,dBm	 N1,m-3	 N2,m-3
1.38e+01	 1.52e-08	 -4.82e+01	 6.05e+24	 3.95e+24
1.40e+01	 1.13e-08	 -4.95e+01	 6.07e+24	 3.93e+24
1.42e+01	 8.40e-09	 -5.08e+01	 6.08e+24	 3.92e+24
1.44e+01	 6.24e-09	 -5.21e+01	 6.10e+24	 3.90e+24
1.46e+01	 4.62e-09	 -5.33e+01	 6.12e+24	 3.88e+24
1.48e+01	 3.43e-09	 -5.47e+01	 6.13e+24	 3.87e+24
1.50e+01	 2.54e-09	 -5.60e+01	 6.15e+24	 3.85e+24
1.52e+01	 1.88e-09	 -5.73e+01	 6.16e+24	 3.84e+24
1.54e+01	 1.39e-09	 -5.86e+01	 6.18e+24	 3.82e+24
1.56e+01	 1.02e-09	 -5.99e+01	 6.19e+24	 3.81e+24
1.58e+01	 7.56e-10	 -6.12e+01	 6.21e+24	 3.79e+24
1.60e+01	 5.58e-10	 -6.25e+01	 6.22e+24	 3.78e+24
1.62e+01	 4.11e-10	 -6.39e+01	 6.23e+24	 3.77e+24
1.64e+01	 3.03e-10	 -6.52e+01	 6.25e+24	 3.75e+24
1.66e+01	 2.23e-10	 -6.65e+01	 6.26e+24	 3.74e+24
1.68e+01	 1.64e-10	 -6.78e+01	 6.27e+24	 3.73e+24
1.70e+01	 1.21e-10	 -6.92e+01	 6.28e+24	 3.72e+24
1.72e+01	 8.87e-11	 -7.05e+01	 6.29e+24	 3.71e+24
1.74e+01	 6.52e-11	 -7.19e+01	 6.31e+24	 3.69e+24
1.76e+01	 4.78e-11	 -7.32e+01	 6.32e+24	 3.68e+24
1.78e+01	 3.51e-11	 -7.45e+01	 6.33e+24	 3.67e+24
1.80e+01	 2.57e-11	 -7.59e+01	 6.34e+24	 3.66e+24
1.82e+01	 1.89e-11	 -7.72e+01	 6.35e+24	 3.65e+24
1.84e+01	 1.38e-11	 -7.86e+01	 6.36e+24	 3.64e+24
1.86e+01	 1.01e-11	 -7.99e+01	 6.37e+24	 3.63e+24
1.88e+01	 7.41e-12	 -8.13e+01	 6.38e+24	 3.62e+24
1.90e+01	 5.42e-12	 -8.27e+01	 6.39e+24	 3.61e+24
1.92e+01	 3.96e-12	 -8.40e+01	 6.40e+24	 3.60e+24
1.94e+01	 2.89e-12	 -8.54e+01	 6.41e+24	 3.59e+24
1.96e+01	 2.11e-12	 -8.67e+01	 6.42e+24	 3.58e+24
1.98e+01	 1.54e-12	 -8.81e+01	 6.43e+24	 3.57e+24
2.00e+01	 1.13e-12	 -8.95e+01	 6.44e+24	 3.56e+24
2.02e+01	 8.22e-13	 -9.09e+01	 6.44e+24	 3.56e+24
2.04e+01	 5.99e-13	 -9.22e+01	 6.45e+24	 3.55e+24
2.06e+01	 4.37e-13	 -9.36e+01	 6.46e+24	 3.54e+24
2.08e+01	 3.18e-13	 -9.50e+01	 6.47e+24	 3.53e+24
2.10e+01	 2.32e-13	 -9.64e+01	 6.48e+24	 3.52e+24
2.12e+01	 1.69e-13	 -9.77e+01	 6.49e+24	 3.51e+24
2.14e+01	 1.23e-13	 -9.91e+01	 6.50e+24	 3.50e+24
2.16e+01	 8.92e-14	 -1.00e+02	 6.51e+24	 3.49e+24
2.18e+01	 6.48e-14	 -1.02e+02	 6.52e+24	 3.48e+24
2.20e+01	 4.71e-14	 -1.03e+02	 6.53e+24	 3.47e+24
2.22e+01	 3.42e-14	 -1.05e+02	 6.54e+24	 3.46e+24
2.24e+01	 2.48e-14	 -1.06e+02	 6.55e+24	 3.45e+24
2.26e+01	 1.80e-14	 -1.07e+02	 6.56e+24	 3.44e+24
2.28e+01	 1.30e-14	 -1.09e+02	 6.57e+24	 3.43e+24
2.30e+01	 9.46e-15	 -1.10e+02	 6.58e+24	 3.42e+24
2.32e+01	 6.85e-15	 -1.12e+02	 6.59e+24	 3.41e+24
2.34e+01	 4.96e-15	 -1.13e+02	 6.60e+24	 3.40e+24
2.36e+01	 3.59e-15	 -1.14e+02	 6.61e+24	 3.39e+24
2.38e+01	 2.60e-15	 -1.16e+02	 6.62e+24	 3.38e+24
2.40e+01	 1.88e-15	 -1.17e+02	 6.63e+24	 3.37e+24
2.42e+01	 1.36e-15	 -1.19e+02	 6.64e+24	 3.36e+24
2.44e+01	 9.79e-16	 -1.20e+02	 6.65e+24	 3.35e+24
2.46e+01	 7.07e-16	 -1.22e+02	 6.66e+24	 3.34e+24
2.48e+01	 5.10e-16	 -1.23e+02	 6.68e+24	 3.32e+24
2.50e+01	 3.68e-16	 -1.24e+02	 6.69e+24	 3.31e+24
2.52e+01	 2.65e-16	 -1.26e+02	 6.70e+24	 3.30e+24
2.54e+01	 1.91e-16	 -1.27e+02	 6.71e+24	 3.29e+24
2.56e+01	 1.37e-16	 -1.29e+02	 6.72e+24	 3.28e+24
2.58e+01	 9.87e-17	 -1.30e+02	 6.74e+24	 3.26e+24
2.60e+01	 7.09e-17	 -1.31e+02	 6.75e+24	 3.25e+24
2.62e+01	 5.09e-17	 -1.33e+02	 6.77e+24	 3.23e+24
2.64e+01	 3.66e-17	 -1.34e+02	 6.78e+24	 3.22e+24
2.66e+01	 2.62e-17	 -1.36e+02	 6.80e+24	 3.20e+24
2.68e+01	 1.88e-17	 -1.37e+02	 6.81e+24	 3.19e+24
2.70e+01	 1.35e-17	 -1.39e+02	 6.83e+24	 3.17e+24
2.72e+01	 9.63e-18	 -1.40e+02	 6.84e+24	 3.16e+24
2.74e+01	 6.89e-18	 -1.42e+02	 6.86e+24	 3.14e+24
2.76e+01	 4.92e-18	 -1.43e+02	 6.88e+24	 3.12e+24
2.78e+01	 3.51e-18	 -1.45e+02	 6.90e+24	 3.10e+24
2.80e+01	 2.50e-18	 -1.46e+02	 6.91e+24	 3.09e+24
2.82e+01	 1.78e-18	 -1.47e+02	 6.93e+24	 3.07e+24
2.84e+01	 1.27e-18	 -1.49e+02	 6.95e+24	 3.05e+24
2.86e+01	 9.03e-19	 -1.50e+02	 6.98e+24	 3.02e+24
2.88e+01	 6.42e-19	 -1.52e+02	 7.00e+24	 3.00e+24
2.90e+01	 4.55e-19	 -1.53e+02	 7.02e+24	 2.98e+24
2.92e+01	 3.23e-19	 -1.55e+02	 7.05e+24	 2.95e+24
2.94e+01	 2.29e-19	 -1.56e+02	 7.07e+24	 2.93e+24
2.96e+01	 1.62e-19	 -1.58e+02	 7.10e+24	 2.90e+24
2.98e+01	 1.14e-19	 -1.59e+02	 7.12e+24	 2.88e+24
3.00e+01	 8.05e-20	 -1.61e+02	 7.15e+24	 2.85e+24
3.02e+01	 5.67e-20	 -1.62e+02	 7.18e+24	 2.82e+24
3.04e+01	 3.99e-20	 -1.64e+02	 7.22e+24	 2.78e+24
